namespace,query,MAPE,MAE,R2
panda-nifi,memory_usage,0.88828236,0.08407443,0.6157453
panda-nifi,cpu_usage,10.180764,0.22874324,0.41378868
panda-nifi,disk_percent,9.439756,0.09020474,0.5496625
telefonica-cem-mbb-prod,memory_usage,7.6003466,0.1284309,0.8049277
telefonica-cem-mbb-prod,cpu_usage,18.023014,0.38175225,0.43427134
telefonica-cem-mbb-prod,disk_percent,3.2722924,0.065300025,0.98229015
telefonica-twamp-accedian,memory_usage,5.399465,0.42630664,0.52727354
telefonica-twamp-accedian,cpu_usage,35.592373,0.3656363,0.75369096
telefonica-twamp-accedian,disk_percent,0.64162034,0.069592714,0.8619188
telefonica-baroneza,memory_usage,1.0621673,0.109719895,0.91517293
telefonica-baroneza,cpu_usage,23.934237,0.29688618,-0.047833562
telefonica-baroneza,disk_percent,1.7725366,0.022578245,0.67440665
telefonica-netcompass-dev,memory_usage,8.460806,0.3865931,0.7276579
telefonica-netcompass-dev,cpu_usage,62.958416,0.8243402,0.17427212
telefonica-netcompass-dev,disk_percent,18.663258,0.8829438,-7.8170023
telco-dataprocessing-prod,memory_usage,15.125045,0.23013264,0.8225841
telco-dataprocessing-prod,cpu_usage,11.633469,0.37889603,0.5168575
telco-dataprocessing-prod,disk_percent,0.41396934,0.034758225,0.16843045
telefonica-baroneza-dev,memory_usage,11.628943,0.06119441,-8.015852
telefonica-baroneza-dev,cpu_usage,41.596085,0.034416806,-1.1504138
telefonica-baroneza-dev,disk_percent,9.689771,0.04140343,-12721.481
panda-druid,memory_usage,7.842074,0.13300543,-0.7683574
panda-druid,cpu_usage,20.445599,0.5008757,-0.31319857
panda-druid,disk_percent,12.4208355,1.177626,0.038362145
telco-datastorage-prod,memory_usage,1.3690825,0.052713007,0.66127735
telco-datastorage-prod,cpu_usage,21.269434,0.12944102,0.03640288
telco-datastorage-prod,disk_percent,1.5665431,0.03269479,-0.05990672
smartoss-application-prod,memory_usage,1465.8011,0.11713691,0.5837959
smartoss-application-prod,cpu_usage,1035225.94,0.5025786,0.40643317
smartoss-application-prod,disk_percent,0.6030185,0.03481635,0.9871008
panda-amq-streams,memory_usage,3.1823466,0.18443617,0.9091158
panda-amq-streams,cpu_usage,71.798935,0.6879191,-0.77426505
panda-amq-streams,disk_percent,28.092522,0.3346898,-39.224598
telefonica-netcompass,memory_usage,5.8873615,0.31901395,0.49828684
telefonica-netcompass,cpu_usage,30.89715,0.6059745,0.60800517
telefonica-netcompass,disk_percent,5.8337994,0.35867414,0.6854223
telefonica-arise-dev,memory_usage,1.0121435,0.058736134,-10.813001
telefonica-arise-dev,cpu_usage,16.400324,0.053086914,0.4295274
telefonica-arise-dev,disk_percent,1.6435683,0.038734965,0.77689815
openshift-storage,memory_usage,1.1413072,0.041836485,0.7061343
openshift-storage,cpu_usage,22.298306,0.3812933,-0.0368793
openshift-storage,disk_percent,93.83732,0.04500982,0.6702024
telefonica-netcompass-icaro-dev,memory_usage,0.88844734,0.020030357,-4.8854356
telefonica-netcompass-icaro-dev,cpu_usage,4.0879498,0.095865205,0.024787843
telefonica-netcompass-icaro-dev,disk_percent,3.421116,0.017292887,-23.801966
panda-monitoring-tools,memory_usage,12.3147745,0.16537379,-0.18153727
panda-monitoring-tools,cpu_usage,68.077995,0.7336638,0.5294767
panda-monitoring-tools,disk_percent,2.031123,0.044436704,0.9861341
panda-druid-dev,memory_usage,9.613186,0.1552813,0.8999034
panda-druid-dev,cpu_usage,225.61632,0.2232822,0.3460521
panda-druid-dev,disk_percent,26.830439,0.08389031,-34.971592
panda-amq-streams-dev,memory_usage,0.6924007,0.028887777,-73.690414
panda-amq-streams-dev,cpu_usage,59.27912,0.206725,-1.7218273
panda-amq-streams-dev,disk_percent,5.5790415,0.16552156,0.9843075
panda-nifi-dev,memory_usage,24.259903,0.63431156,-23909.12
panda-nifi-dev,cpu_usage,18.220703,0.361545,0.14608842
panda-nifi-dev,disk_percent,7.38573,0.3559611,0.1708973
smartvtc-application-dev,memory_usage,1.0509274,0.06426971,0.96523315
smartvtc-application-dev,cpu_usage,36.79612,0.87564474,0.13318366
smartvtc-application-dev,disk_percent,1.1512091,0.113320954,-2.5276723
ALL,cpu_usage,42.05822704210526,0.38768355184210523,0.026420378473684204
ALL,disk_percent,12.299286872631578,0.20919127415789474,-674.8597265723683
ALL,memory_usage,6.285211026315789,0.17286040447368423,-1263.0748044715788
ALL,ALL,20.21424164701754,0.25657841015789473,-645.9693702218245
openshift-storage,ALL,39.09231106666667,0.156046535,0.44648580000000004
panda-amq-streams,ALL,34.357934533333335,0.40234835666666663,-13.02991575
panda-amq-streams-dev,ALL,21.8501874,0.13371144566666668,-24.80931126666667
panda-druid,ALL,13.569502833333333,0.60383571,-0.34773127499999995
panda-druid-dev,ALL,87.35331500000001,0.15415126999999998,-11.241878833333333
panda-monitoring-tools,ALL,27.474630833333332,0.3144914313333333,0.44469117666666663
panda-nifi,ALL,6.836267453333332,0.13434080333333334,0.5263988266666667
panda-nifi-dev,ALL,16.622112,0.4506058866666667,-7969.60100476
smartvtc-application-dev,ALL,12.999418833333335,0.35107846800000003,-0.47641849666666664
telco-dataprocessing-prod,ALL,9.057494446666666,0.2145956316666667,0.5026240166666667
telco-datastorage-prod,ALL,8.0683532,0.07161627233333333,0.21259117000000002
telefonica-arise-dev,ALL,6.352011933333334,0.05018600433333334,-3.202191816666667
telefonica-baroneza,ALL,8.922980299999999,0.14306144,0.5139153393333333
telefonica-baroneza-dev,ALL,20.971599666666666,0.045671548666666666,-4243.5490886
telefonica-cem-mbb-prod,ALL,9.631884333333334,0.191827725,0.7404963966666666
telefonica-netcompass,ALL,14.206103633333333,0.42788753,0.5972381033333334
telefonica-netcompass-dev,ALL,30.027493333333336,0.6979590333333333,-2.3050240933333335
telefonica-netcompass-icaro-dev,ALL,2.7991710466666664,0.04439614966666666,-9.554204585666666
telefonica-twamp-accedian,ALL,13.877819446666669,0.2871785513333333,0.7142944333333334
